,Song,1
0,"""B"" Girls",0
1,"""Cherry Cherry"" from Hot August Night",0
2,"""Having A Party"" Medley",0
3,"""Joy"" Pt. I",0
4,"""Roots"" Medley",0
5,"""Yep!""",0
6,#1,0
7,#1 Dee Jay,0
8,#9 Dream,0
9,#Beautiful,0
10,#SELFIE,0
11,#thatPOWER,0
12,$ave Dat Money,0
13,'03 Bonnie & Clyde,0
14,'65 Love Affair,0
15,'98 Thug Paradise,0
16,'Round We Go,0
17,'Til,0
18,'Til My Baby Comes Home,0
19,'Til Summer Comes Around,0
20,'Til You Do Me Right,0
21,'til I Can Make It On My Own,0
22,'til It's Time To Say Goodbye,0
23,('til) I Kissed You,0
24,(1-2-3-4-5-6-7) Count The Days,0
25,(A Ship Will Come) Ein Schiff Wird Kommen,0
26,(All I Have To Do Is) Dream,0
27,(All Of A Sudden) My Heart Sings,0
28,(All of a Sudden) My Heart Sings,0
29,(Any Way That You Want It) I'll Be There,0
30,(Baby Tell Me) Can You Dance,0
31,(Baby) Hully Gully,0
32,(Baby) Turn On To Me,0
33,(Believed You Were) Lucky,0
34,(Between A) Rock And A Hard Place,0
35,(Bringing Out) The Girl In Me,0
36,(Call Me Your) Anything Man,0
37,(Call Me) When The Spirit Moves You,0
38,(Can't Live Without Your) Love And Affection,1
39,(Closest Thing To) Perfect,0
40,(Come 'round Here) I'm The One You Need,0
41,(Come On) Shout,0
42,(Dance The) Mess Around,0
43,(Dance With The) Guitar Man,0
44,(Do The New) Continental,0
45,(Do The) Mashed Potatoes (Part 1),0
46,(Do The) Push And Pull Part I,0
47,(Do You) Wanna Ride,0
48,(Doin' The) Lovers Leap,0
49,(Don't Fear) The Reaper,0
50,(Don't Worry) If There's A Hell Below We're All Going To Go,0
51,(Down At) Papa Joe's,0
52,(Every Time I Turn Around) Back In Love Again,0
53,(Everything I Do) I Do It For You,7
54,(For God's Sake) Give More Power To The People,0
55,(Forever) Live And Die,0
56,(Ghost) Riders In The Sky,0
57,"(Girls, Girls, Girls) Made To Love",0
58,(God Must Have Spent) A Little More Time On You,0
59,(He's My) Dreamboat,0
60,(He's) Raining In My Sunshine,0
61,(He's) The Great Impostor,0
62,(Here They Come) From All Over The World,0
63,(Hey Won't You Play) Another Somebody Done Somebody Wrong Song,1
64,(Hot S**t) Country Grammar,0
65,(How Bout A Little Hand For) The Boys In The Band,0
66,(How Can I Write On Paper) What I Feel In My Heart,0
67,(How I Spent My Summer Vacation) Or A Day At The Beach With Pedro & Man - P,0
68,(How To Be A) Millionaire,0
69,(I Believe) There's Nothing Stronger Than Our Love,0
70,(I Can Feel Those Vibrations) This Love Is Real,0
71,(I Can Feel Your Love) Slipping Away,0
72,(I Can't Get No) Satisfaction,4
73,(I Can't Help You) I'm Falling Too,0
74,(I Could Only) Whisper Your Name,0
75,(I Cried at) Laura's Wedding,0
76,(I Do The) Shimmy Shimmy,0
77,(I Don't Care) Only Love Me,0
78,(I Don't Want To Love You But) You Got Me Anyway,0
79,(I Hate) Everything About You,0
80,(I Just) Died In Your Arms,2
81,(I Know I Got) Skillz,0
82,(I Know) I'm Losing You,0
83,(I Love You) Don't You Forget It,0
84,(I Never Promised You A) Rose Garden,0
85,(I Remember) Summer Morning,0
86,(I Wanna) Dance With The Teacher,0
87,(I Wanna) Love My Life Away,0
88,(I Wanna) Testify,0
89,(I Washed My Hands In) Muddy Water,0
90,(I Will Be Your) Shadow In The Street,0
91,(I was) Born To Cry,0
92,(I'd Know You) Anywhere,0
93,(I'll Be With You In) Apple Blossom Time,0
94,(I'm A) Road Runner,0
95,(I'm A) YoYo Man,0
96,(I'm Going By) The Stars In Your Eyes,0
97,(I'm Just A) Fool For You,0
98,(I'm Not Your) Steppin' Stone,0
99,(I'm So) Afraid Of Losing You Again,0
100,(I'm Watching) Every Little Move You Make,0
101,(I've Got) Bonnie,0
102,(I've Got) Spring Fever,0
103,(I've Had) The Time Of My Life,1
104,(If Loving You Is Wrong) I Don't Want To Be Right,0
105,(If There Was) Any Other Way,0
106,"(If You Cry) True Love, True Love",0
107,(If You Let Me Make Love To You Then) Why Can't I Touch You?,0
108,(If You Want It) Do It Yourself,0
109,(If You're Not In It For Love) I'm Outta Here!/The Woman In Me,0
110,(If You're Wondering If I Want You To) I Want You To,0
111,(It Never Happens) In Real Life,0
112,(It's Been A Long Time) Pretty Baby,0
113,(It's Just) The Way That You Love Me,0
114,(It's No) Sin,0
115,(It's The Way) Nature Planned It,0
116,(It) Feels So Good,0
117,(Just Like) Romeo & Juliet,0
118,(Just Like) Romeo And Juliet,0
119,(Just Like) Starting Over,5
120,(Keep Feeling) Fascination,0
121,(Kissed You) Good Night,0
122,(Last Night) I Didn't Get To Sleep At All,0
123,(Lay Your Head On My) Pillow,0
124,(Let's Do) The Hully Gully Twist,0
125,(Loneliness Made Me Realize) It's You That I Need,0
126,(Love Is Like A) Baseball Game,0
127,(Love Is) Thicker Than Water,2
128,(Love Me) Love The Life I Lead,0
129,(Love Theme From) One Eyed Jacks,0
130,"(Mama Come Quick, and Bring Your) Lickin' Stick",0
131,(Marie's The Name) His Latest Flame,0
132,"(Meet) The Flintstones (From ""The Flintstones"")",0
133,(My Girl) Sloopy,0
134,(Native Girl) Elephant Walk,0
135,(New In) The Ways Of Love,0
136,(Night Time Is) The Right Time,0
137,(Not Just) Knee Deep - Part 1,0
138,(Now You See Me) Now You Don't,0
139,(Now and Then There's) A Fool Such As I,0
140,(Oh Lord Won't You Buy Me A) Mercedes Benz,0
141,(One Of These Days) Sunday's Gonna' Come On Tuesday,0
142,(Open Up The Door) Let The Good Times In,0
143,(Our Love) Don't Throw It All Away,0
144,(Pride) In The Name Of Love,0
145,(Quarter To Four) Stomp,0
146,(Reach Up For The) Sunrise,0
147,(Remember Me) I'm The One Who Loves You,0
148,(Remember The Days Of The) Old Schoolyard,0
149,(Sartorial Eloquence) Don't Ya Wanna Play This Game No More?,0
150,(Say) You're My Girl,0
151,"(See You At The) ""Go-Go""",0
152,(Seven Little Girls) Sitting In The Back Seat,0
153,"(Shake, Shake, Shake) Shake Your Booty",1
154,(She's A) Very Lovely Woman/The Long Way Around,0
155,(She's Got) Skillz,0
156,(She's Just A) Fallen Angel,0
157,(She's) Some Kind Of Wonderful,0
158,(Shu-Doo-Pa-Poo-Poop) Love Being Your Fool,0
159,(Sittin' On) The Dock Of The Bay,4
160,(Such An) Easy Question,0
161,(Sweet Sweet Baby) Since You've Been Gone,0
162,(That's) What The Nitty Gritty Is,0
163,(The Bees Are For The Birds) The Birds Are For The Bees,0
164,(The Best Part Of) Breakin' Up,0
165,(The Clickity Clack Song) Four Little Heels,0
166,(The Lament Of The Cherokee) Indian Reservation,0
167,(The Lights Went Out In) Massachusetts,0
168,(The Man Who Shot) Liberty Valance,0
169,(The Puppet Song) Whiskey On A Sunday,0
170,"(The Story Of) Woman, Love And A Man (Part 1)",0
171,(The System Of) Doctor Tarr And Professor Fether,0
172,"(Theme From) ""Goodbye Again""",0
173,(Theme From) Any Number Can Win,0
174,(Theme From) Love Story,0
175,(Theme From) Silver City,0
176,(Theme From) The Sundowners,0
177,(Theme From) Valley Of The Dolls,0
178,"(Theme from) ""The Dark At The Top Of The Stairs""",0
179,(Theme from) A Summer Place,0
180,(Theme from) Charlie's Angels,0
181,(Theme from) My Three Sons,0
182,(Theme from) The Great Impostor,0
183,(There Was A) Tall Oak Tree,0
184,(There'll Come A Day When) Ev'ry Little Bit Hurts,0
185,(There's Gotta Be) More To Life,0
186,(There's No Place Like) Home For The Holidays,0
187,(There's) Always Something There To Remind Me,0
188,(There's) No Gettin' Over Me,0
189,(They Long To Be) Close To You,4
190,(Today I Met) The Boy I'm Gonna Marry,0
191,(Want You) Back In My Life Again,0
192,(We Ain't Got) Nothin' Yet,0
193,(We'll Be) United,0
194,(We've Got) Honey Love,0
195,(Welcome) New Lovers,0
196,(What A Sad Way) To Love Someone,0
197,(What A) Wonderful World,0
198,(When She Needs Good Lovin') She Comes To Me,0
199,(When You Gonna) Give It Up To Me,0
200,(Where Do I Begin) Love Story,0
201,(Wish I Could Fly Like) Superman,0
202,(You Better) Know What You're Doin',0
203,(You Can Still) Rock In America,0
204,(You Can't Let The Boy Overpower) The Man In You,0
205,(You Don't Have To) Paint Me A Picture,0
206,(You Don't Know) How Glad I Am,0
207,(You Drive Me) Crazy,0
208,(You Got To Walk And) Don't Look Back,0
209,(You Gotta) Fight For Your Right (To Party!),0
210,(You Keep Me) Hangin' On,0
211,"(You Make Me Feel Like) A Natural Woman (From ""New York Undercover"")",0
212,(You Make Me Feel) So Good,0
213,(You Want To) Make A Memory,0
214,(You Were Made For) All My Love,0
215,(You're Gonna) Hurt Yourself,0
216,(You're My One And Only) True Love,0
217,(You're My) Soul And Inspiration,3
218,(You're Puttin') A Rush On Me,0
219,(You're the) Devil In Disguise,0
220,(You're) Having My Baby,3
221,(You've Got Me) Dangling On A String,0
222,(You've Got To) Move Two Mountains,0
223,(You've Got) Personality And Chantilly Lace,0
224,(Your Love Keeps Lifting Me) Higher And Higher,0
225,(everybody Wanna Get Rich) Rite Away,0
226,(i've Been) Searchin' So Long,0
227,(if You Add) All The Love In The World,0
228,(oh) Pretty Woman,0
229,(one More Year Of) Daddy's Little Girl,0
230,(she's) Sexy + 17,0
231,(what) In The Name Of Love,0
232,"(you're So Square) Baby, I Don't Care",0
233,(your Love Has Lifted Me) Higher And Higher,0
234,***Flawless,0
235,-twistin'-White Silver Sands,0
236,......And Roses And Roses,0
237,...And Then There Were Drums,0
238,...Baby One More Time,2
239,...Ready For It?,0
240,0 To 100 / The Catch Up,0
241,1 Night,0
242,1 Thing,0
243,1+1,0
244,"1, 2 Step",0
245,"1, 2, 3, 4",0
246,"1, 2, 3, 4 (Sumpin' New)",0
247,"1, 2, 3, Red Light",0
248,"1,000 Laughs",0
249,1-2-3,0
250,1-4-All-4-1,0
251,1-800-273-8255,0
252,1-Luv,0
253,1.5,0
254,10 Bands,0
255,10 Freaky Girls,0
256,10 Little Bottles,0
257,10-9-8,0
258,100,0
259,100 Grandkids,0
260,100 Years,0
261,100% Pure Love,0
262,1234,0
263,13 Questions,0
264,1400 / 999 Freestyle,0
265,143,0
266,1432 Franklin Pike Circle Hero,0
267,15 Minutes,0
268,16 Candles,0
269,17,0
270,17 Again,0
271,18,0
272,18 And Life,0
273,18 Yellow Roses,0
274,19,0
275,19 Somethin',0
276,19 You + Me,0
277,1900 Yesterday,0
278,1901,0
279,1927 Kansas City,0
280,1941,0
281,1942,0
282,1942 Flows,0
283,1973,0
284,1979,0
285,1984,0
286,1985,0
287,1985 (Intro To The Fall Off),0
288,1994,0
289,1999,0
290,19th Nervous Breakdown,0
291,1st Of Tha Month,0
292,1st Time,0
293,2 Become 1,0
294,2 Legit 2 Quit,0
295,2 On,0
296,2 Phones,0
297,2 Reasons,0
298,2 Step,0
299,2 Way Street,0
300,20-75,0
301,20/20,0
302,2012 (It Ain't The End),0
303,21 Guns,0
304,21 Questions,4
305,21st Century Girl,0
306,22,0
307,23,0
308,24 Hours,0
309,24's,0
310,24/7,0
311,24K Magic,0
312,25 Or 6 To 4,0
313,25 To Life,0
314,26 Cents,0
315,2U,0
316,3,1
317,3 A.M. Eternal,0
318,3 Headed Snake,0
319,3 Little Words,0
320,3 Peat,0
321,3-2-1 Pump,0
322,30 For 30 Freestyle,0
323,30-60-90,0
324,3000 Miles,0
325,31 Days,0
326,31 Flavors,0
327,32 Flavors,0
328,3500,0
329,360 Degrees (What Goes Around),0
330,365,0
331,3am,0
332,3rd Man Theme,0
333,4 - By The Beatles,0
334,4 AM,0
335,4 Da Gang,0
336,4 Ever,0
337,4 In The Morning,0
338,4 Minutes,0
339,4 My Town (Play Ball),0
340,4 Seasons Of Loneliness,1
341,4 Your Eyez Only,0
342,"4, 3, 2, 1",0
343,"4, 5, 6",0
344,409,0
345,44 More,0
346,442 Glenwood Avenue,0
347,4422,0
348,444+222,0
349,4:44,0
