,Unnamed: 0,url,WeekID,Week Position,Song,Performer,SongID,Instance,Previous Week Position,Peak Position,Weeks on Chart,year,month,day
490,490,https://www.billboard.com/charts/hot-100/2018-03-10,2018-03-10,2,Psycho,Post Malone Featuring Ty Dolla $ign,PsychoPost Malone Featuring Ty Dolla $ign,1,,2,1,2018,3,10
506,506,https://www.billboard.com/charts/hot-100/2018-04-14,2018-04-14,4,Call Out My Name,The Weeknd,Call Out My NameThe Weeknd,1,,4,1,2018,4,14
529,529,https://www.billboard.com/charts/hot-100/2018-05-05,2018-05-05,6,ATM,J. Cole,ATMJ. Cole,1,,6,1,2018,5,5
539,539,https://www.billboard.com/charts/hot-100/2018-02-03,2018-02-03,7,Diplomatic Immunity,Drake,Diplomatic ImmunityDrake,1,,7,1,2018,2,3
540,540,https://www.billboard.com/charts/hot-100/2018-02-17,2018-02-17,7,Pray For Me,The Weeknd & Kendrick Lamar,Pray For MeThe Weeknd & Kendrick Lamar,1,,7,1,2018,2,17
541,541,https://www.billboard.com/charts/hot-100/2018-05-12,2018-05-12,7,Better Now,Post Malone,Better NowPost Malone,1,,7,1,2018,5,12
562,562,https://www.billboard.com/charts/hot-100/2018-02-10,2018-02-10,9,Say Something,Justin Timberlake Featuring Chris Stapleton,Say SomethingJustin Timberlake Featuring Chris Stapleton,1,,9,1,2018,2,10
579,579,https://www.billboard.com/charts/hot-100/2018-05-12,2018-05-12,11,Paranoid,Post Malone,ParanoidPost Malone,1,,11,1,2018,5,12
604,604,https://www.billboard.com/charts/hot-100/2018-01-06,2018-01-06,14,Bartier Cardi,Cardi B Featuring 21 Savage,Bartier CardiCardi B Featuring 21 Savage,1,,14,1,2018,1,6
605,605,https://www.billboard.com/charts/hot-100/2018-05-05,2018-05-05,14,Photograph,J. Cole,PhotographJ. Cole,1,,14,1,2018,5,5
606,606,https://www.billboard.com/charts/hot-100/2018-05-12,2018-05-12,14,Rich & Sad,Post Malone,Rich & SadPost Malone,1,,14,1,2018,5,12
615,615,https://www.billboard.com/charts/hot-100/2018-05-12,2018-05-12,15,Spoil My Night,Post Malone Featuring Swae Lee,Spoil My NightPost Malone Featuring Swae Lee,1,,15,1,2018,5,12
627,627,https://www.billboard.com/charts/hot-100/2018-04-14,2018-04-14,16,Be Careful,Cardi B,Be CarefulCardi B,1,,16,1,2018,4,14
628,628,https://www.billboard.com/charts/hot-100/2018-05-12,2018-05-12,16,Ball For Me,Post Malone Featuring Nicki Minaj,Ball For MePost Malone Featuring Nicki Minaj,1,,16,1,2018,5,12
726,726,https://www.billboard.com/charts/hot-100/2018-03-10,2018-03-10,10,All The Stars,Kendrick Lamar & SZA,All The StarsKendrick Lamar & SZA,1,7.0,7,8,2018,3,10
732,732,https://www.billboard.com/charts/hot-100/2018-02-24,2018-02-24,10,Stir Fry,Migos,Stir FryMigos,1,8.0,8,8,2018,2,24
850,850,https://www.billboard.com/charts/hot-100/2018-05-26,2018-05-26,86,Mercy,Brett Young,MercyBrett Young,1,97.0,86,2,2018,5,26
880,880,https://www.billboard.com/charts/hot-100/2018-04-28,2018-04-28,87,Money Bag,Cardi B,Money BagCardi B,1,58.0,58,2,2018,4,28
