,Unnamed: 0,url,WeekID,Week Position,Song,Performer,SongID,Instance,Previous Week Position,Peak Position,Weeks on Chart,year,month,day
229957,229957,http://www.billboard.com/charts/hot-100/2012-07-21,2012-07-21,49,Party Rock Anthem,LMFAO Featuring Lauren Bennett & GoonRock (7-2012),Party Rock AnthemLMFAO Featuring Lauren Bennett & GoonRock,2,50.0,1,68,2012,7,21
229948,229948,http://www.billboard.com/charts/hot-100/2012-04-14,2012-04-14,49,Rolling In The Deep,Adele (4-2012),Rolling In The DeepAdele,2,43.0,1,65,2012,4,14
274700,274700,http://www.billboard.com/charts/hot-100/1997-02-08,1997-02-08,44,Macarena (Bayside Boys Mix),Los Del Rio (2-1997),Macarena (Bayside Boys Mix)Los Del Rio,2,42.0,1,60,1997,2,8
230955,230955,http://www.billboard.com/charts/hot-100/2014-12-06,2014-12-06,43,All Of Me,John Legend (12-2014),All Of MeJohn Legend,3,36.0,1,59,2014,12,6
291787,291787,http://www.billboard.com/charts/hot-100/2013-03-02,2013-03-02,36,Somebody That I Used To Know,Gotye Featuring Kimbra (3-2013),Somebody That I Used To KnowGotye Featuring Kimbra,1,42.0,1,59,2013,3,2
291781,291781,https://www.billboard.com/charts/hot-100/2018-03-03,2018-03-03,24,Shape Of You,Ed Sheeran (3-2018),Shape Of YouEd Sheeran,1,24.0,1,58,2018,3,3
291785,291785,http://www.billboard.com/charts/hot-100/2000-09-02,2000-09-02,48,Smooth,Santana Featuring Rob Thomas (9-2000),SmoothSantana Featuring Rob Thomas,1,46.0,1,58,2000,9,2
291780,291780,http://www.billboard.com/charts/hot-100/2014-11-01,2014-11-01,49,Dark Horse,Katy Perry Featuring Juicy J (11-2014),Dark HorseKaty Perry Featuring Juicy J,1,43.0,1,57,2014,11,1
229910,229910,https://www.billboard.com/charts/hot-100/2018-10-06,2018-10-06,21,Perfect,Ed Sheeran (10-2018),PerfectEd Sheeran,2,23.0,1,56,2018,10,6
268899,268899,http://www.billboard.com/charts/hot-100/2010-07-17,2010-07-17,49,I Gotta Feeling,The Black Eyed Peas (7-2010),I Gotta FeelingThe Black Eyed Peas,1,49.0,1,56,2010,7,17
224679,224679,http://www.billboard.com/charts/hot-100/2015-12-12,2015-12-12,21,Uptown Funk!,Mark Ronson Featuring Bruno Mars (12-2015),Uptown Funk!Mark Ronson Featuring Bruno Mars,1,24.0,1,55,2015,12,12
229907,229907,http://www.billboard.com/charts/hot-100/2000-08-19,2000-08-19,50,Amazed,Lonestar (8-2000),AmazedLonestar,2,45.0,1,55,2000,8,19
216796,216796,http://www.billboard.com/charts/hot-100/1999-02-13,1999-02-13,50,Too Close,Next (2-1999),Too CloseNext,1,48.0,1,53,1999,2,13
219615,219615,http://www.billboard.com/charts/hot-100/1998-11-28,1998-11-28,27,Truly Madly Deeply,Savage Garden (11-1998),Truly Madly DeeplySavage Garden,1,25.0,1,52,1998,11,28
268854,268854,https://www.billboard.com/charts/hot-100/2019-06-01,2019-06-01,35,Girls Like You,Maroon 5 Featuring Cardi B (6-2019),Girls Like YouMaroon 5 Featuring Cardi B,1,32.0,1,52,2019,6,1
291729,291729,http://www.billboard.com/charts/hot-100/2017-02-25,2017-02-25,32,Cheap Thrills,Sia Featuring Sean Paul (2-2017),Cheap ThrillsSia Featuring Sean Paul,1,30.0,1,52,2017,2,25
291731,291731,http://www.billboard.com/charts/hot-100/2017-08-12,2017-08-12,39,Closer,The Chainsmokers Featuring Halsey (8-2017),CloserThe Chainsmokers Featuring Halsey,1,36.0,1,52,2017,8,12
291732,291732,http://www.billboard.com/charts/hot-100/2017-05-20,2017-05-20,39,Can't Stop The Feeling!,Justin Timberlake (5-2017),Can't Stop The Feeling!Justin Timberlake,1,38.0,1,52,2017,5,20
291741,291741,http://www.billboard.com/charts/hot-100/2016-03-19,2016-03-19,49,See You Again,Wiz Khalifa Featuring Charlie Puth (3-2016),See You AgainWiz Khalifa Featuring Charlie Puth,1,45.0,1,52,2016,3,19
225776,225776,http://www.billboard.com/charts/hot-100/2009-05-09,2009-05-09,48,Viva La Vida,Coldplay (5-2009),Viva La VidaColdplay,1,45.0,1,51,2009,5,9
229872,229872,https://www.billboard.com/charts/hot-100/2018-01-20,2018-01-20,38,That's What I Like,Bruno Mars (1-2018),That's What I LikeBruno Mars,2,32.0,1,51,2018,1,20
268844,268844,https://www.billboard.com/charts/hot-100/2019-04-06,2019-04-06,45,I Like It,"Cardi B, Bad Bunny & J Balvin (4-2019)","I Like ItCardi B, Bad Bunny & J Balvin",1,44.0,1,51,2019,4,6
291713,291713,https://www.billboard.com/charts/hot-100/2018-01-20,2018-01-20,34,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber (1-2018),DespacitoLuis Fonsi & Daddy Yankee Featuring Justin Bieber,1,25.0,1,51,2018,1,20
291700,291700,http://www.billboard.com/charts/hot-100/2013-02-16,2013-02-16,48,Call Me Maybe,Carly Rae Jepsen (2-2013),Call Me MaybeCarly Rae Jepsen,1,43.0,1,50,2013,2,16
291704,291704,http://www.billboard.com/charts/hot-100/2015-08-15,2015-08-15,50,Shake It Off,Taylor Swift (8-2015),Shake It OffTaylor Swift,1,47.0,1,50,2015,8,15
264866,264866,http://www.billboard.com/charts/hot-100/2013-09-21,2013-09-21,47,Thrift Shop,Macklemore & Ryan Lewis Featuring Wanz (9-2013),Thrift ShopMacklemore & Ryan Lewis Featuring Wanz,2,37.0,1,49,2013,9,21
268810,268810,http://www.billboard.com/charts/hot-100/2012-06-09,2012-06-09,48,Moves Like Jagger,Maroon 5 Featuring Christina Aguilera (6-2012),Moves Like JaggerMaroon 5 Featuring Christina Aguilera,1,49.0,1,49,2012,6,9
268813,268813,http://www.billboard.com/charts/hot-100/2002-08-10,2002-08-10,50,How You Remind Me,Nickelback (8-2002),How You Remind MeNickelback,1,45.0,1,49,2002,8,10
274660,274660,http://www.billboard.com/charts/hot-100/2009-07-25,2009-07-25,48,Just Dance,Lady Gaga Featuring Colby O'Donis (7-2009),Just DanceLady Gaga Featuring Colby O'Donis,2,42.0,1,49,2009,7,25
232371,232371,http://www.billboard.com/charts/hot-100/2016-05-07,2016-05-07,48,The Hills,The Weeknd (5-2016),The HillsThe Weeknd,1,39.0,1,48,2016,5,7
268789,268789,http://www.billboard.com/charts/hot-100/2011-07-02,2011-07-02,48,Just The Way You Are,Bruno Mars (7-2011),Just The Way You AreBruno Mars,1,44.0,1,48,2011,7,2
291651,291651,http://www.billboard.com/charts/hot-100/2008-03-29,2008-03-29,45,Big Girls Don't Cry,Fergie (3-2008),Big Girls Don't CryFergie,1,41.0,1,48,2008,3,29
291657,291657,http://www.billboard.com/charts/hot-100/2014-03-29,2014-03-29,48,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell (3-2014),Blurred LinesRobin Thicke Featuring T.I. + Pharrell,1,43.0,1,48,2014,3,29
243686,243686,http://www.billboard.com/charts/hot-100/2001-03-31,2001-03-31,41,With Arms Wide Open,Creed (3-2001),With Arms Wide OpenCreed,1,37.0,1,47,2001,3,31
268765,268765,http://www.billboard.com/charts/hot-100/2014-12-06,2014-12-06,50,Happy,Pharrell Williams (12-2014),HappyPharrell Williams,1,37.0,1,47,2014,12,6
291630,291630,http://www.billboard.com/charts/hot-100/2015-06-13,2015-06-13,49,All About That Bass,Meghan Trainor (6-2015),All About That BassMeghan Trainor,1,47.0,1,47,2015,6,13
267339,267339,http://www.billboard.com/charts/hot-100/1998-10-31,1998-10-31,47,Together Again,Janet (10-1998),Together AgainJanet,1,50.0,1,46,1998,10,31
246880,246880,http://www.billboard.com/charts/hot-100/2004-11-13,2004-11-13,49,Yeah!,Usher Featuring Lil Jon & Ludacris (11-2004),Yeah!Usher Featuring Lil Jon & Ludacris,1,49.0,1,45,2004,11,13
268702,268702,http://www.billboard.com/charts/hot-100/2012-02-18,2012-02-18,49,Give Me Everything,"Pitbull Featuring Ne-Yo, Afrojack & Nayer (2-2012)","Give Me EverythingPitbull Featuring Ne-Yo, Afrojack & Nayer",1,45.0,1,45,2012,2,18
274629,274629,https://www.billboard.com/charts/hot-100/2018-07-07,2018-07-07,39,Havana,Camila Cabello Featuring Young Thug (7-2018),HavanaCamila Cabello Featuring Young Thug,2,39.0,1,45,2018,7,7
291558,291558,https://www.billboard.com/charts/hot-100/2019-06-22,2019-06-22,38,Sicko Mode,Travis Scott (6-2019),Sicko ModeTravis Scott,1,35.0,1,45,2019,6,22
291533,291533,http://www.billboard.com/charts/hot-100/2014-05-17,2014-05-17,49,Royals,Lorde (5-2014),RoyalsLorde,1,44.0,1,44,2014,5,17
231174,231174,http://www.billboard.com/charts/hot-100/2012-07-07,2012-07-07,49,Set Fire To The Rain,Adele (7-2012),Set Fire To The RainAdele,5,43.0,1,43,2012,7,7
250428,250428,http://www.billboard.com/charts/hot-100/2006-02-04,2006-02-04,48,We Belong Together,Mariah Carey (2-2006),We Belong TogetherMariah Carey,1,44.0,1,43,2006,2,4
222701,222701,http://www.billboard.com/charts/hot-100/1997-08-09,1997-08-09,47,Un-Break My Heart,Toni Braxton (8-1997),Un-Break My HeartToni Braxton,1,49.0,1,42,1997,8,9
250336,250336,http://www.billboard.com/charts/hot-100/2012-10-20,2012-10-20,49,We Are Young,fun. Featuring Janelle Monae (10-2012),We Are Youngfun. Featuring Janelle Monae,2,42.0,1,42,2012,10,20
268579,268579,http://www.billboard.com/charts/hot-100/2013-04-20,2013-04-20,49,One More Night,Maroon 5 (4-2013),One More NightMaroon 5,1,49.0,1,42,2013,4,20
291438,291438,http://www.billboard.com/charts/hot-100/1998-07-25,1998-07-25,49,Candle In The Wind 1997/Something About The Way You Look Tonight,Elton John (7-1998),Candle In The Wind 1997/Something About The Way You Look TonightElton John,1,48.0,1,42,1998,7,25
291442,291442,http://www.billboard.com/charts/hot-100/2016-08-27,2016-08-27,50,Sorry,Justin Bieber (8-2016),SorryJustin Bieber,1,45.0,1,42,2016,8,27
291443,291443,http://www.billboard.com/charts/hot-100/2012-06-30,2012-06-30,50,Sexy And I Know It,LMFAO (6-2012),Sexy And I Know ItLMFAO,1,46.0,1,42,2012,6,30
237087,237087,http://www.billboard.com/charts/hot-100/1994-10-08,1994-10-08,50,The Sign,Ace Of Base (10-1994),The SignAce Of Base,1,47.0,1,41,1994,10,8
250906,250906,http://www.billboard.com/charts/hot-100/2012-07-14,2012-07-14,48,We Found Love,Rihanna Featuring Calvin Harris (7-2012),We Found LoveRihanna Featuring Calvin Harris,1,44.0,1,41,2012,7,14
268521,268521,http://www.billboard.com/charts/hot-100/2002-05-04,2002-05-04,46,Family Affair,Mary J. Blige (5-2002),Family AffairMary J. Blige,1,47.0,1,41,2002,5,4
268525,268525,http://www.billboard.com/charts/hot-100/2016-09-10,2016-09-10,48,Love Yourself,Justin Bieber (9-2016),Love YourselfJustin Bieber,1,46.0,1,41,2016,9,10
268529,268529,http://www.billboard.com/charts/hot-100/2000-10-28,2000-10-28,50,Everything You Want,Vertical Horizon (10-2000),Everything You WantVertical Horizon,1,47.0,1,41,2000,10,28
291366,291366,http://www.billboard.com/charts/hot-100/2015-02-14,2015-02-14,44,Rude,MAGIC! (2-2015),RudeMAGIC!,1,45.0,1,41,2015,2,14
291384,291384,http://www.billboard.com/charts/hot-100/2016-04-02,2016-04-02,50,Can't Feel My Face,The Weeknd (4-2016),Can't Feel My FaceThe Weeknd,1,45.0,1,41,2016,4,2
