,Song,Performer,Relevance (Total Weeks on Chart),Count of no. 1,Year,Month,Popularity
48973,Roots,Imagine Dragons (9-2015),1,0,2015,9,0.0
48974,All I Ask,Adele (3-2016),1,0,2016,3,0.0
48977,All Da Smoke,Future & Young Thug (11-2017),1,0,2017,11,0.0
48981,Splash Warning,"Meek Mill Featuring Future, Roddy Ricch & Young Thug (12-2018)",1,0,2018,12,0.0
48967,Accidental Racist,Brad Paisley Featuring LL Cool J (4-2013),1,0,2013,4,0.0
48961,StarStruck,Christopher Wilde (3-2010),1,0,2010,3,0.0
48963,Cannibal,Ke$ha (11-2010),1,0,2010,11,0.0
49160,Afraid To Sleep,Vicci Martinez (7-2011),1,0,2011,7,0.0
49161,Called Out In The Dark,Snow Patrol (1-2012),1,0,2012,1,0.0
49162,She Doesn't Mind,Sean Paul (4-2012),1,0,2012,4,0.0
49167,Own It,Drake (10-2013),1,0,2013,10,0.0
49168,Sanctified,Rick Ross Featuring Kanye West & Big Sean (3-2014),1,0,2014,3,0.0
49170,The Days,Avicii (10-2014),1,0,2014,10,0.0
49173,Charged Up,Drake (8-2015),1,0,2015,8,0.0
49175,Blackstar,David Bowie (1-2016),1,0,2016,1,0.0
49156,Borderline / Open Your Heart,Glee Cast (5-2010),1,0,2010,5,0.0
49154,America's Suitehearts,Fall Out Boy (5-2009),1,0,2009,5,0.0
49147,Amor Eterno,Cristian Castro (12-2005),1,0,2005,12,0.0
49148,Ride For You,Danity Kane (9-2006),1,0,2006,9,0.0
49150,Coffee Shop,Yung Joc Featuring Gorilla Zoe (9-2007),1,0,2007,9,0.0
49155,Careful,Paramore (10-2009),1,0,2009,10,0.0
49182,Pay You Back,Meek Mill Featuring 21 Savage (12-2018),1,0,2018,12,0.0
49183,Confessions Of A Dangerous Mind,Logic (4-2019),1,0,2019,4,0.0
49184,The Bird On My Head,David Seville (8-1958),1,0,1958,8,0.0
48637,409,The Beach Boys (10-1962),1,0,1962,10,0.0
48612,Supermarket Flowers,Ed Sheeran (3-2017),1,0,2017,3,0.0
48613,A Lie,French Montana Featuring The Weeknd & Max B (8-2017),1,0,2017,8,0.0
48589,Pen & Paper (Something Typical),The Red Jumpsuit Apparatus (1-2009),1,0,2009,1,0.0
48593,Reverse Cowgirl,T-Pain (4-2010),1,0,2010,4,0.0
48598,Bill Gates,Lil Wayne (10-2010),1,0,2010,10,0.0
48800,Start This S**t Off Right,Lil Wayne Featuring Ashanti & Mack Maine (10-2018),1,0,2018,10,0.0
48799,Pretty Little Fears,6LACK Featuring J. Cole (9-2018),1,0,2018,9,0.0
48797,Racks Blue,Future (7-2018),1,0,2018,7,0.0
48785,Better Than I Know Myself,Adam Lambert (1-2012),1,0,2012,1,0.0
48786,Around My Way (Freedom Ain't Free),Lupe Fiasco (6-2012),1,0,2012,6,0.0
