,Song,Performer,Peak Position,Weeks on Chart,Views,Video Title,Year,Month
11795,X,21 Savage & Metro Boomin Featuring Future (2-2017),36,21,5.05,"G-Eazy - No Limit REMIX ft. A$AP Rocky, Cardi B, French Montana, Juicy J, Belly",2017,2
3412,There's Nothing Holdin' Me Back,Shawn Mendes (12-2017),6,34,0.5,Shawn Mendes - There's Nothing Holdin' Me Back (Live From The 2017 American Music Awards),2017,12
11108,The Weekend,SZA (1-2018),33,24,0.51,SZA x Calvin Harris - The Weekend (Funk Wav Remix (Audio)),2018,1
4686,What Lovers Do,Maroon 5 Featuring SZA (2-2018),9,21,0.76,Maroon 5 - What Lovers Do (Live On The Ellen DeGeneres Show/2017),2018,2
4982,Filthy,Justin Timberlake (2-2018),9,6,0.21,Justin Timberlake - Filthy (Official Video),2018,2
18559,Sick Boy,The Chainsmokers (2-2018),65,3,1.45,The Chainsmokers - Sick Boy,2018,2
3407,Sorry Not Sorry,Demi Lovato (3-2018),6,35,0.13,Demi Lovato - Sorry Not Sorry in the Live Lounge,2018,3
7477,Young Dumb & Broke,Khalid (3-2018),18,35,0.78,"Imagine Dragons, Khalid - Thunder / Young Dumb & Broke (Medley/Audio)",2018,3
7637,End Game,Taylor Swift Featuring Ed Sheeran & Future (3-2018),18,13,14.09,"Taylor Swift - End Game ft. Ed Sheeran, Future",2018,3
10958,River,Eminem Featuring Ed Sheeran (3-2018),32,15,0.33,Breaking Benjamin - Red Cold River (Audio Only),2018,3
14773,Yours,Russell Dickerson (3-2018),49,19,0.03,Train - Have Yourself a Merry Little Christmas,2018,3
20833,For You (Fifty Shades Freed),Liam Payne & Rita Ora (3-2018),76,3,2.39,"Liam Payne, Rita Ora - For You (Fifty Shades Freed)",2018,3
24623,Rock,Plies (3-2018),95,5,5.05,"G-Eazy - No Limit REMIX ft. A$AP Rocky, Cardi B, French Montana, Juicy J, Belly",2018,3
2462,No Limit,G-Eazy Featuring A$AP Rocky & Cardi B (4-2018),4,28,5.05,"G-Eazy - No Limit REMIX ft. A$AP Rocky, Cardi B, French Montana, Juicy J, Belly",2018,4
3536,MotorSport,"Migos, Nicki Minaj & Cardi B (4-2018)",6,21,4.51,"Migos, Nicki Minaj, Cardi B - MotorSport",2018,4
6514,Him & I,G-Eazy & Halsey (4-2018),14,19,1.55,G-Eazy & Halsey - Him & I (Official Video),2018,4
8001,Wolves,Selena Gomez X Marshmello (4-2018),20,22,2.96,"Selena Gomez, Marshmello - Wolves",2018,4
15705,Tell Me You Love Me,Demi Lovato (4-2018),53,19,6.3,Demi Lovato - Tell Me You Love Me,2018,4
21091,Beautiful Trauma,P!nk (4-2018),78,15,2.48,P!nk - Beautiful Trauma (Official Video),2018,4
2368,Thunder,Imagine Dragons (5-2018),4,51,0.4,Imagine Dragons - Thunder (Live On The Ellen DeGeneres Show/2017),2018,5
4307,Stir Fry,Migos (5-2018),8,21,0.49,Migos - Stir Fry (Audio),2018,5
5746,Let You Down,NF (5-2018),12,27,1.77,NF - Let You Down,2018,5
14690,Cry Pretty,Carrie Underwood (5-2018),48,2,0.95,Carrie Underwood - Cry Pretty (Official Music Video),2018,5
21071,When We,Tank (5-2018),78,19,0.15,When We're Together (From Olaf's Frozen Adventure/Official Lyric Video),2018,5
1969,Finesse,Bruno Mars & Cardi B (6-2018),3,23,4.87,Bruno Mars and Cardi B - Finesse (LIVE From The 60th GRAMMYs ®),2018,6
3916,All The Stars,Kendrick Lamar & SZA (6-2018),7,21,1.69,"Kendrick Lamar, SZA - All The Stars (Audio)",2018,6
3964,Pray For Me,The Weeknd & Kendrick Lamar (6-2018),7,20,3.07,"The Weeknd, Kendrick Lamar - Pray For Me (Audio)",2018,6
8290,King's Dead,"Jay Rock, Kendrick Lamar, Future & James Blake (6-2018)",21,20,4.01,"Jay Rock, Kendrick Lamar, Future, James Blake - King's Dead",2018,6
9982,You Make It Easy,Jason Aldean (6-2018),28,20,0.34,Jason Aldean - You Make It Easy (Lyric Video),2018,6
14126,No Excuses,Meghan Trainor (6-2018),46,12,1.03,Meghan Trainor - No Excuses,2018,6
121,Havana,Camila Cabello Featuring Young Thug (7-2018),1,45,5.48,Camila Cabello - Havana (Vertical Video) ft. Young Thug,2018,7
5255,Chun-Li,Nicki Minaj (7-2018),10,14,5.29,Nicki Minaj - Chun-Li,2018,7
20254,Sativa,Jhene Aiko Featuring Swae Lee Or Rae Sremmurd (7-2018),74,16,1.06,Jhené Aiko - Sativa ft. Rae Sremmurd,2018,7
2687,Call Out My Name,The Weeknd (8-2018),4,18,7.83,The Weeknd - Call Out My Name (Official Video),2018,8
5763,Whatever It Takes,Imagine Dragons (8-2018),12,27,0.43,"Imagine Dragons, Miss Congeniality - Whatever It Takes (Miss Congeniality Remix/Audio)",2018,8
11326,One Number Away,Luke Combs (8-2018),34,20,0.02,Luke Combs - One Number Away (Lyric Video),2018,8
1000,This Is America,Childish Gambino (9-2018),1,17,31.65,Childish Gambino - This Is America (Official Video),2018,9
5440,In My Blood,Shawn Mendes (9-2018),11,23,2.82,Shawn Mendes - In My Blood,2018,9
9443,One Kiss,Calvin Harris & Dua Lipa (9-2018),26,21,1.92,"Calvin Harris, Dua Lipa - One Kiss (Lyric Video)",2018,9
438,Nice For What,Drake (10-2018),1,25,24.42,Drake - Nice For What,2018,10
1875,No Tears Left To Cry,Ariana Grande (11-2018),3,27,15.87,Ariana Grande - No Tears Left To Cry,2018,11
2902,The Middle,"Zedd, Maren Morris & Grey (11-2018)",5,40,0.24,dodie - In The Middle,2018,11
5699,Delicate,Taylor Swift (11-2018),12,35,14.82,Taylor Swift - Delicate,2018,11
7482,Back To You,Selena Gomez (11-2018),18,26,7.01,Selena Gomez - Back To You,2018,11
