,Song,Video Title,Views
490,Psycho,,
506,Call Out My Name,The Weeknd - Call Out My Name (Official Video),7831865.0
529,ATM,,
539,Diplomatic Immunity,,
540,Pray For Me,"The Weeknd, Kendrick Lamar - Pray For Me (Audio)",3070722.0
541,Better Now,,
562,Say Something,Justin Timberlake - Say Something (Official Video) ft. Chris Stapleton,2125929.0
579,Paranoid,,
604,Bartier Cardi,,
605,Photograph,,
606,Rich & Sad,,
615,Spoil My Night,,
627,Be Careful,,
628,Ball For Me,,
726,All The Stars,"Kendrick Lamar, SZA - All The Stars (Audio)",1685423.0
732,Stir Fry,Migos - Stir Fry (Audio),487995.0
850,Mercy,Brett Young - Mercy,202721.0
880,Money Bag,,
995,I Like Me Better,,
1162,Let You Down,NF - Let You Down,1774018.0
1178,Friends,Camila Cabello - Real Friends (Audio),1796416.0
1548,River,Breaking Benjamin - Red Cold River (Audio Only),334173.0
1609,Sad!,,
1610,Stay,X Ambassadors - Don't Stay (Audio),110882.0
1645,1985 (Intro To The Fall Off),,
1646,Same Bitches,,
1673,44 More,,
1697,Over Now,,
1758,Ring,,
1759,The Cut Off,,
1775,Takin' Shots,,
1792,Brackets,,
2076,Pray For Me,"The Weeknd, Kendrick Lamar - Pray For Me (Audio)",3070722.0
2249,Plug Walk,,
2670,My Dawg,,
2741,Notice Me,,
2812,IDGAF,,
2819,Gorgeous,,
2820,I Do,BØRNS - I Don't Want U Back,86519.0
2955,Meant To Be,,
3408,Outside Today,,
3480,Plain Jane,,
3495,Say Something,Justin Timberlake - Say Something (Official Video) ft. Chris Stapleton,2125929.0
3853,Marry Me,Thomas Rhett - Marry Me,851835.0
4111,Done For Me,,
4112,Done For Me,,
4411,God's Plan,,
4412,Nice For What,Drake - Nice For What,24421448.0
4432,No Tears Left To Cry,Ariana Grande - No Tears Left To Cry,15873034.0
4456,Look Alive,,
4476,I Like It,,
4477,Kevin's Heart,,
4489,Filthy,Justin Timberlake - Filthy (Official Video),211014.0
4490,Freaky Friday,,
4864,For The First Time,,
4885,I Like Me Better,,
5156,Best Life,,
5181,92 Explorer,,
5259,All The Stars,"Kendrick Lamar, SZA - All The Stars (Audio)",1685423.0
5260,Bickenhead,,
5322,Otherside,,
5323,Shoota,,
