,video_id,trending_date,title,channel_title,category_id,publish_time,tags,views,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,video_error_or_removed,description
32,n1WpP7iowLc,17.14.11,Eminem - Walk On Water (Audio) ft. Beyoncé,EminemVEVO,10,2017-11-10T17:00:03.000Z,"Eminem|""Walk""|""On""|""Water""|""Aftermath/Shady/Interscope""|""Rap""",17158531,787419,43420,125882,https://i.ytimg.com/vi/n1WpP7iowLc/default.jpg,False,False,False,Eminem's new track Walk on Water ft. Beyoncé is available everywhere: http://shady.sr/WOWEminem \nPlaylist Best of Eminem: https://goo.gl/AquNpo\nSubscribe for more: https://goo.gl/DxCrDV\n\nFor more visit: \nhttp://eminem.com\nhttp://facebook.com/eminem\nhttp://twitter.com/eminem\nhttp://instagram.com/eminem\nhttp://eminem.tumblr.com\nhttp://shadyrecords.com\nhttp://facebook.com/shadyrecords\nhttp://twitter.com/shadyrecords\nhttp://instagram.com/shadyrecords\nhttp://trustshady.tumblr.com\n\nMusic video by Eminem performing Walk On Water. (C) 2017 Aftermath Records\nhttp://vevo.ly/gA7xKt
40,PaJCFHXcWmM,17.14.11,U2 - The Blackout,U2VEVO,10,2017-11-13T17:00:04.000Z,"U2|""The""|""Blackout""|""Island""|""Records""|""Rock""",60506,5389,106,455,https://i.ytimg.com/vi/PaJCFHXcWmM/default.jpg,False,False,False,'The Blackout’ from upcoming album Songs of Experience – Pre-order now.\n \nFollow U2: http://www.u2.com/\nFacebook: https://U2.lnk.to/FBID\nTwitter: https://U2.lnk.to/TWID\nInstagram: https://U2.lnk.to/ISID\n \n#U2TheBlackout \n#U2SongsofExperience In the darkness where we learn to see\n\nMusic video by U2 performing The Blackout. (C) 2017 Universal Music Operations Limited\n\nhttp://vevo.ly/TETtx3
53,9t9u_yPEidY,17.14.11,"Jennifer Lopez - Amor, Amor, Amor (Official Video) ft. Wisin",JenniferLopezVEVO,10,2017-11-10T15:00:00.000Z,"Jennifer Lopez ft. Wisin|""Jennifer Lopez ft. Wisin Music""|""Jennifer Lopez ft. Wisin Official Video""|""Jennifer Lopez ft. Wisin Video""|""Jennifer Lopez ft. Wisin Video Oficial""|""Jennifer Lopez ft. Wisin Nuevo Video""|""Jennifer Lopez ft. Wisin New Video""|""Amor""|""Amor Official Video""|""Official Video""|""Amor Single""|""Single""|""Jennifer Lopez ft. Wisin New Single""|""Jennifer Lopez ft. Wisin Single""|""Jennifer Lopez ft. Wisin Amor""|""Jennifer""|""Lopez""",9548677,190083,15015,11473,https://i.ytimg.com/vi/9t9u_yPEidY/default.jpg,False,False,False,"Jennifer Lopez ft. Wisin - Amor, Amor, Amor (Official Music Video)\n“Amor, Amor, Amor” is available on these digital platforms!\niTunes: http://smarturl.it/AAAi\nApple Music: http://smarturl.it/AAAap\nSpotify: http://smarturl.it/AAAs\nAmazon Music: http://smarturl.it/AAAam\nGoogle Play: http://smarturl.it/AAAgp\nVideo: http://smarturl.it/AAAv\nLinkfire: https://SML.lnk.to/AAA\n\nFollow JLO!\nOfficial Site: http://www.jenniferlopez.com\nFacebook: https://www.facebook.com/jenniferlopez\nInstagram: https://www.instagram.com/jlo\nTwitter: https://twitter.com/jlo\nOfficial music video by Jennifer Lopez ft. Wisin performing Amor, Amor, Amor. (C) 2017 Sony Music Entertainment US Latin LLC"
63,ujyTQNNjjDU,17.14.11,G-Eazy - The Plan (Official Video),GEazyMusicVEVO,10,2017-11-10T05:00:01.000Z,"BPG/RVG/RCA Records|""G-Eazy""|""Rap""|""The Plan""",2642930,115795,3055,6410,https://i.ytimg.com/vi/ujyTQNNjjDU/default.jpg,False,False,False,New Album ‘The Beautiful & Damned’ Available Everywhere December 15 http://smarturl.it/TBAD\n \nPre-order exclusive TB&D bundles here: http://smarturl.it/TBAD/officialstore\n\nNew Music from G-Eazy. The Plan available now: http://smarturl.it/ThePlan\n \nApple Music: http://smarturl.it/TBAD/applemusic\nSpotify: http://smarturl.it/TBAD/spotify\niTunes: http://smarturl.it/TBAD/itunes\nAmazon Music: http://smarturl.it/TBAD/az\nGoogle Play: http://smarturl.it/TBAD/googleplay\nYouTube: http://smarturl.it/TBAD/youtube\n \nSubscribe for more exclusive G-Eazy footage: http://bit.ly/GEazyYTSub\n \nG-Eazy Official Site: http://g-eazy.com/\nG-Eazy On Twitter: https://twitter.com/G_Eazy\nG-Eazy On Facebook: https://www.facebook.com/G.Eazy\nG-Eazy on Instagram: https://www.instagram.com/g_eazy
74,lY_0mkYDZDU,17.14.11,Foster The People - Sit Next to Me (Official Video),fosterthepeopleVEVO,10,2017-11-10T17:00:05.000Z,"Foster|""The""|""People""|""Sit""|""Next""|""to""|""Me""|""(Vertical""|""Video)""|""Columbia""|""Alternative/Indie""",303956,18603,585,1745,https://i.ytimg.com/vi/lY_0mkYDZDU/default.jpg,False,False,False,Experience the Sit Next to Me video best on your mobile phone. Foster The People's new album 'Sacred Hearts Club' is available now: http://smarturl.it/SacredHeartsClub\n\niTunes: http://smarturl.it/SacredHeartsClubiT\nSpotify: http://smarturl.it/SacredHeartsClubSp\nAmazon: http://smarturl.it/SacredHeartsClubAmz\nGoogle Play: http://smarturl.it/SacredHeartsClubGP\nApple Music: http://smarturl.it/SacredHeartsClubAM\n\nBest of Foster The People: https://goo.gl/uYvBSH\nSubscribe here: https://goo.gl/a3NFyk\n\nFollow the band:\nhttp://fosterthepeople.com\nhttp://facebook.com/fosterthepeople\nhttp://twitter.com/fosterthepeople\nhttp://instagram.com/fosterthepeople\n\nProduction Company: PRETTYBIRD Pictures\nDirector: Fourclops & Brinton Bryan\nExecutive Producer: Candice Dragonas\nExecutive Producer: Derek Richmond\nCommissioner: Saul Levitz\nProducer: Judy Craig\nDirector of Photography: Carissa Dorson\nProduction Manager: Richard Theisen\n1st AD: Jeff Cobb\nVFX: Dawid Krępski\nWriter: Brooks Morrison
87,_Iz83-Cmt6A,17.14.11,Little Big Town with Jimmy Webb - Wichita Lineman (Live from the CMA Awards),CMAVEVO,10,2017-11-09T22:23:51.000Z,"Little|""Big""|""Town""|""with""|""Jimmy""|""Webb""|""Wichita""|""Lineman""|""(Live""|""from""|""the""|""CMA""|""Awards)""|""Country""|""Music""|""Association""|""Classic""",46746,439,66,55,https://i.ytimg.com/vi/_Iz83-Cmt6A/default.jpg,False,False,False,Music video by Little Big Town performing Little Big Town with Jimmy Webb - Wichita Lineman (Live from the CMA Awards). \n\nhttp://vevo.ly/YoYKZZ
104,pz95u3UVpaM,17.14.11,Camila Cabello - Havana (Vertical Video) ft. Young Thug,CamilaCabelloVEVO,10,2017-11-10T05:01:00.000Z,"camila cabello|""camila""|""young thug""|""havana""|""fifth harmony""|""5h""|""harmonizers""|""crying in the club""|""omg""|""i have questions""|""know no better""|""lauren jauregui""|""dinah jane""|""normandi kordei""|""ally brooke""|""lele""|""pons""|""lelepons""|""shawn mendes""|""LeLe Pons""|""LuJuan James""|""influencers""|""instagram influencer""|""lele instagram""|""latina influencer""|""lelepons dance videos""|""lele pons dance battle""|""Camila Cabello feat. Young Thug""|""Havana""|""Pop""|""Syco Music/Epic""",5476737,286268,4083,12254,https://i.ytimg.com/vi/pz95u3UVpaM/default.jpg,False,False,False,"Havana – Spotify Vertical Video \nVideo Director: Sam Lecca\nAvailable at Spotify: http://smarturl.it/Havana_Sptfy \n\nFind Camila Here: \nTwitter: @camila_cabello\nIG: @camila_cabello \nFacebook: @97camilacabello \nWebsite: www.camilacabello.com \n \n#Havana\n#HAVANAtheMOVIE\n#Camila\n#CamilaCabello\n \n(C) 2017 Simco Ltd. under exclusive license to Epic Records, a division of Sony Music Entertainment Category: Music License: Standard YouTube License\n \nCategory: Music"
109,viyRD5z6ilQ,17.14.11,Luke Bryan - O Holy Night (Audio),LukeBryanVEVO,10,2017-11-10T05:00:01.000Z,"Luke|""Bryan""|""Holy""|""Night""|""Capitol""|""Records""|""Nashville""|""Holiday""",125962,5048,139,369,https://i.ytimg.com/vi/viyRD5z6ilQ/default.jpg,False,False,False,"Music video by Luke Bryan performing O Holy Night. (C) 2017 UMG Recordings, Inc.\n\nhttp://vevo.ly/dh1t8w"
110,QFfEtKvXMAs,17.14.11,Niall Horan - Too Much To Ask (Acoustic),NiallHoranVEVO,10,2017-11-10T17:00:05.000Z,"Niall Horan|""Niall""|""Horan""|""Too Much To Ask""|""Too Much Too Ask""|""To Much To Ask""|""To Much Too Ask""|""TMTA""|""Too Much To Ask Acoustic""|""Too Much Too Ask Acoustic""|""To Much To Ask Acoustic""|""To Much Too Ask Acoustic""|""TMTA Acoustic""|""Acoustic""|""Acoustic Video""",419341,53572,168,3083,https://i.ytimg.com/vi/QFfEtKvXMAs/default.jpg,False,False,False,Get Niall's album Flicker featuring 'Too Much to Ask' everywhere now: http://niall.to/FlickerYD\n\nFollow Niall:\nhttps://www.facebook.com/Niallofficial/\nhttps://twitter.com/NiallOfficial\nhttps://www.instagram.com/niallhoran/\nhttp://niall.to/websiteYD\n\nMusic video by Niall Horan performing Too Much To Ask. (C) 2017 Neon Haze Music Ltd under exclusive license to Capitol Records\n\nhttp://vevo.ly/bWKUOi\n\nBest of Niall Horan https://goo.gl/ZZfw2b\nNiall Horan - Audio Videos https://goo.gl/wKZzFM\n\nSubscribe for more https://goo.gl/ApUhRc
111,xg9ebVTL9yE,17.14.11,Empire Of The Sun - Way To Go,empireofthesunvevo,10,2017-11-10T05:00:06.000Z,"Empire|""Of""|""The""|""Sun""|""Way""|""To""|""Go""|""EMI""|""Alternative""|""eots""|""waay""|""too""|""goo""|""emipre of the sun""|""son""|""electronic""|""edm""|""australian""|""adm""|""aussie music. triplej""|""like a version""|""two leaves""|""flume""|""alison wonderland""|""cut copy""|""pnau""|""mgmt""|""hot chip""|""the presets""|""phoenix""|""hermitude""|""Nobumichi Asai""|""Ryo Kitabatake""",138988,7999,84,612,https://i.ytimg.com/vi/xg9ebVTL9yE/default.jpg,False,False,False,"Download or stream “Way to Go” by Empire of the Sun: https://EmpireOfTheSun.lnk.to/OnOurWayHome \n\nConnect with Empire of the Sun: \nhttps://www.facebook.com/empireofthesun/\nhttps://twitter.com/EmpireOfTheSun\nhttps://www.instagram.com/empireofthesunsound/\n\nCreative Director: Nobumichi Asai [WOW inc.]\nDirector: Ryo Kitabatake [WOW inc.]\nCG Designer: Tsutomu Miyajima [WOW inc.]\nCG Designer: Daisuke Morikawaki [WOW inc.]\nCG Designer: Shota Oga [WOW inc.]\nTechnical Director: Nobumichi Asai [WOW inc.]\nProducer: Nobumichi Asai [WOW inc.]\nAssistant Producer: Ayaka Motoyoshi [WOW inc.]\n\nCamera: Kimihiro Morikawa\nLighting Director: Ryu Shima [NAGAIHOSHI Co.,Ltd.]\nHair&Make-up: Ina\nStylist: DAN\n\nCompositor & Colourist: Akio Sakamaki [jitto inc.]\n\nDigital Humans & Performance Capture: [ZUKUN LABORATORY]\n\nProducer: Kazuhiko Mino\nMotion Capture Supervisor: Kenya Miki\nFacial Capture Supervisor: Hiromu Kinoshita\nDigital Artist: Tomoya Tanaka\nDigital Artist: Deng Xiaohui\nDigital Artist: Cheng Ze\nDigital Artist: Satoko Itakura\nMotion Capture Specialist: Yuuka Tomita\nMotion Capture Specialist: Kouta Isomura\nMotion Capture Specialist: Kazuya Takahashi\nMotion Capture Specialist: Riku Okada\nMotion Capture Specialist: Rina Sawada\nFacial Capture Specialist: Taisei Kurita\nFacial Capture Specialist: Manami Kira\nFacial Capture Specialist: Diogo Ribeiro\nCG Project Manager: Yuko Sadaki\nCG Producer: Sawami Takahashi\nProduction Supervisor: Ayumu Kasai\n\n【Special Thanks】\nTranslator: Mika Iwasaka \nTranslator: Michiru Sasaki  [WOW inc.]\nTranslator: Sumiko Shiraishi [F.O.A. Inc.]\n\nLyrics: \n\nsurfing the snow\nare you ready for \na revolution to show the way \nseven more weeks until the day\n\nbecause heart breaks come in an bend us the wrong way \nplaces memory are changing into all things\n\ndoesn’t matter whats tripping you out theres ways to go\nthis is where we get carried away enough to start again\n\nwhat I see\nis nothing like before\ndreaming is the home of the brave \nfuture is the healing of pain\n\nbecause heart breaks come in an bend us the wrong way \nplaces memory are changing into all things\n\ndoesn’t matter whats tripping you out theres ways to go\nthis is where we get carried away enough to start again\ndoesn’t matter whats tripping you out theres ways to go\nthis is where we get carried away enough to start again \n\nlike a cannonball\nshot across the floor\nwe have found a way through the darkest hour\nlike a cannonball\nshot across the floor\nwe have little time for worry\n\ndoesn’t matter whats tripping you out theres ways to go\nthis is where we get carried away enough to start again\ndoesn’t matter whats tripping you out theres ways to go\nthis is where we get carried away enough to start again \ndoesn’t matter whats tripping you out theres ways to go\nthis is where we get carried away enough to start again \n\n© 2016 The Sleepy Jackson Pty Ltd and Nick Littlemore, under exclusive licence to Universal Music Australia Pty Ltd"
